2011-10-24 13:45:46 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:46:13 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:46:35 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:47:02 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:48:04 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:50:19 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:50:59 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:51:21 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:52:22 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:53:00 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:53:06 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:53:08 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:53:11 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 13:55:00 Warning: Warning (2): array_unshift() expects parameter 1 to be array, null given in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 57]
2011-10-24 14:01:58 Warning: Warning (2): Missing argument 1 for TradesController::setchoices(), called in C:\Users\JT\ASAP\app\controllers\trades_controller.php on line 37 and defined in [C:\Users\JT\ASAP\app\controllers\trades_controller.php, line 47]
